Price,Close,High,Low,Open,Volume
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
Date,,,,,
2014-06-02,2351.153076171875,2359.309139000596,2250.9772933419613,2302.40855970784,125036
2014-06-03,2450.17822265625,2475.6059582741827,2338.728071379059,2338.728071379059,249483
2014-06-04,2467.785400390625,2481.3627556387714,2432.4263671864987,2432.4263671864987,391679
2014-06-05,2525.9814453125,2551.3131313441713,2455.8872124847635,2467.929450083096,395460
2014-06-06,2566.473388671875,2599.3855523367974,2491.485671038477,2533.1775039384074,346829
2014-06-09,2687.423583984375,2731.802175704192,2590.7982430273555,2598.4265162651745,364434
2014-06-10,2684.688720703125,2700.137361501084,2648.4661956865416,2690.2540826574073,299466
2014-06-11,2663.19482421875,2696.298849236061,2651.200612255956,2670.4873987969095,210853
2014-06-12,2656.669921875,2689.5820863014683,2609.892495293767,2655.998292858532,228675
2014-06-13,2655.99853515625,2711.891567913783,2638.72686838139,2648.322238811868,234432
2014-06-16,2635.511962890625,2671.350760221214,2577.316142943312,2660.795854200225,142303
2014-06-17,2683.728759765625,2699.993098223244,2603.655449393192,2621.4549063896256,204982
2014-06-18,2691.597412109375,2755.790345605495,2669.4320130482197,2683.729021066803,271738
2014-06-19,2643.908203125,2702.152287470615,2638.7748206408655,2692.460869893439,181951
2014-06-20,2617.0888671875,2659.3565144224635,2599.3854582610334,2644.483692494429,624214
2014-06-23,2601.544677734375,2643.5244212662806,2562.4435451875147,2614.738311415831,215826
2014-06-24,2596.267578125,2629.1317246835442,2578.228233307619,2602.264685161231,429044
2014-06-25,2614.258544921875,2624.3336833772537,2573.0945015089687,2599.0020003942286,117721
2014-06-26,2576.4052734375,2637.7676273747006,2544.692523753258,2637.7676273747006,386646
2014-06-27,2490.86181640625,2590.5578437312183,2451.856734007937,2582.8335246124116,383541
2014-06-30,2487.072021484375,2520.703842095988,2475.7016479460763,2491.91773046185,143123
2014-07-01,2523.630126953125,2531.8342144833946,2488.079237163251,2488.079237163251,293772
2014-07-02,2536.343994140625,2564.8421938869806,2519.7439585286984,2537.9751600565146,318166
2014-07-03,2521.999267578125,2547.522812232208,2490.0466373597474,2539.894539632363,275955
2014-07-04,2495.755615234375,2526.412774036248,2465.0504327324525,2523.582186876742,188031
2014-07-07,2456.318603515625,2510.0526740044497,2444.9002072415324,2503.335915193347,228067
2014-07-08,2398.79443359375,2470.807731014146,2391.6459299234016,2470.807731014146,584531
2014-07-09,2393.08544921875,2418.992950072361,2377.444948147322,2402.6808199052725,311136
2014-07-10,2409.781494140625,2442.022035942743,2369.8168657247897,2417.0740701531513,882148
2014-07-11,2387.7119140625,2427.628749257051,2355.903354392638,2426.5731647917137,386695
2014-07-14,2411.508544921875,2436.744417002532,2370.056589878422,2370.056589878422,319583
2014-07-15,2417.361572265625,2423.694375807099,2396.059898058924,2416.1141273331964,192032
2014-07-16,2411.508544921875,2433.386037219303,2405.799346142783,2422.8311293291563,669381
2014-07-17,2488.031494140625,2500.313614972352,2397.4512922478348,2412.276092503307,788176
2014-07-18,2448.6904296875,2494.7962299432675,2434.7771430205084,2494.7962299432675,347820
2014-07-21,2420.480712890625,2437.5124989096053,2364.539644916725,2408.438473669871,386560
2014-07-22,2418.65673828125,2431.466650368993,2400.3297229496893,2420.9117438362155,336391
2014-07-23,2352.5927734375,2427.0049117927356,2346.1639226358734,2400.8095058426316,310668
2014-07-24,2392.656005859375,2398.049303161466,2329.671190501039,2356.637206761489,189840
2014-07-25,2384.0849609375,2403.9243400593377,2359.863791902242,2393.234145800722,215621
2014-07-28,2321.341552734375,2388.4194484357718,2303.6690809106317,2388.4194484357718,238497
2014-07-30,2376.188232421875,2388.32280181415,2284.8889352142246,2321.0041449383693,347843
2014-07-31,2331.453857421875,2396.0276721861183,2323.990046501689,2372.0472640538806,209170
2014-08-01,2380.3291015625,2419.188919806602,2283.4439540427716,2330.6344870449207,548588
2014-08-04,2379.366455078125,2418.2744809121486,2373.250852085927,2391.3084572301336,114658
2014-08-05,2507.16552734375,2522.189310323969,2378.836176038686,2388.418695959165,388972
2014-08-06,2452.607421875,2508.80277187075,2441.387726177486,2503.024339382756,382347
2014-08-07,2450.296630859375,2491.2754031052064,2436.62105160623,2455.834296429756,307606
2014-08-08,2383.17041015625,2431.757356653282,2349.8962179144587,2428.7717387198445,277909
2014-08-11,2439.12451171875,2455.496737765803,2388.418858628918,2399.012651953482,185321
2014-08-12,2516.60400390625,2528.0644687813747,2442.495411664224,2450.055622316121,293381
2014-08-13,2511.788818359375,2542.5107289508405,2480.874105218699,2509.7662725931405,368845
2014-08-14,2535.335693359375,2542.510534015585,2491.949244986866,2503.987647136561,160888
2014-08-18,2566.73193359375,2571.4029280936834,2533.2172071253885,2533.2172071253885,181072
2014-08-19,2618.208251953125,2632.365366673562,2557.004964865309,2572.462321143003,269465
2014-08-20,2585.22314453125,2623.8904021592166,2575.2552524770585,2617.6304323981467,166602
2014-08-21,2547.229736328125,2590.616188834833,2533.0726210760918,2582.959811363076,649656
2014-08-22,2553.44140625,2572.799015142061,2546.8442680569765,2556.66755683616,78811
2014-08-25,2532.157958984375,2569.477012292598,2512.5113772282734,2569.477012292598,98382
2014-08-26,2514.437255859375,2551.178367823878,2482.8002386749554,2551.178367823878,206952
2014-08-27,2498.690673828125,2526.3789979262397,2489.5414884739653,2515.6408375868978,131664
2014-08-28,2455.88232421875,2512.944352384366,2447.9369785248036,2495.127516585819,262975
2014-09-01,2545.881103515625,2553.826448362988,2465.7053509649627,2489.5413855070515,250061
2014-09-02,2618.833984375,2641.706948291119,2534.902339254921,2534.902339254921,230945
2014-09-03,2612.959228515625,2641.2736920879092,2600.9208260933224,2619.0748309961737,235374
2014-09-04,2610.503662109375,2631.979984585486,2556.9567524524396,2590.7606815348836,203348
2014-09-05,2572.125244140625,2627.6462660036227,2568.032187026482,2607.9996859057615,186652
2014-09-08,2617.678466796875,2624.323570994284,2572.1733048851293,2575.3032895668894,346213
2014-09-09,2595.383056640625,2664.8206530709863,2587.774880665609,2609.925540232155,173333
2014-09-10,2581.418701171875,2614.6928936135837,2577.5664122669027,2590.6642885938304,142101
2014-09-11,2587.341552734375,2608.9624756534126,2561.7719399180796,2605.110187021957,76735
2014-09-12,2541.884521484375,2587.0525103512437,2508.8028997543006,2577.2292216459264,188618
2014-09-15,2493.5380859375,2541.8844944710145,2479.9107094868364,2532.879676097235,126296
2014-09-16,2456.989501953125,2523.7304457107202,2427.664003444113,2498.1126337229484,103211
2014-09-17,2503.843017578125,2508.8027446932506,2441.387699730284,2460.649141148275,152700
2014-09-18,2548.240966796875,2563.698323397594,2478.755398174797,2478.8515643245314,105864
2014-09-19,2544.003662109375,2567.6471339229875,2528.0647686382795,2552.6231121050514,165822
